Company Name,Website,Source,WhatsApp Link,Phone Number,WhatsApp Source,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Datadog,https://www.datadoghq.com,OSM,https://wa.me/18663294466,+18663294466,wa.me API check,Newsroom Events,Partner,newsroom.events@datadoghq.com,website,info@datadoghq.com; newsroom.events@datadoghq.com
iC Consult Americas LLC,https://ic-consult.com,OSM,https://wa.me/11254221122,+11254221122,site mentions WhatsApp,Raiffeisen Bank,Owner,raiffeisen.bank@ic-consult.com,website,marketing@ic-consult.com; raiffeisen.bank@ic-consult.com
systMD,https://systmd.net,OSM,https://wa.me/19734336226,+19734336226,wa.me API check,Google Chan,ceO,google.chan@systmd.net,website,matt@systmd.com; webdesign@systmd.com; google.chan@systmd.net
Community Healthcare Network,https://www.chnnyc.org/jamaica-health-center,OSM,https://wa.me/17185235833,+17185235833,site mentions WhatsApp,,,feedback@chnnyc.org,none,feedback@chnnyc.org
Community Healthcare Network,https://www.chnnyc.org/sutphin-blvd-health-center,OSM,https://wa.me/17186577092,+17186577092,site mentions WhatsApp,,,feedback@chnnyc.org,none,feedback@chnnyc.org
MooIT Solutions,https://mooit.com,OSM,https://wa.me/13004005000,+13004005000,site mentions WhatsApp,Buyers Guide,cto,buyers.guide@mooit.com,website,info@mooit.com; john@doe.com; buyers.guide@mooit.com
Community Healthcare Network,https://www.chnnyc.org/washington-heights-center,OSM,https://wa.me/12127817963,+12127817963,site mentions WhatsApp,,,feedback@chnnyc.org,none,feedback@chnnyc.org
Community Healthcare Network,https://www.chnnyc.org/crown-heights-health-center,OSM,https://wa.me/17182218169,+17182218169,site mentions WhatsApp,,,feedback@chnnyc.org,none,feedback@chnnyc.org
Cornell Tech,https://tech.cornell.edu,OSM,https://wa.me/12401220427,+12401220427,wa.me API check,Establishes Cornell,Partner,establishes@tech.cornell.edu,website,admissions@tech.cornell.edu; community@tech.cornell.edu; dining-catering@tech.cornell.edu; events@tech.cornell.edu; mm3394@cornell.edu; news@tech.cornell.edu; security@tech.cornell.edu; establishes@tech.cornell.edu
Top 15 IT Companies in New York - appwrk.com,https://appwrk.com/insights/top-15-it-companies-in-new-york,DuckDuckGo,https://wa.me/919865000760,+919865000760,wa.me link on site,Diverse Talent,partner,diverse.talent@appwrk.com,website,contact@appwrk.com; enquiry@appwrk.com; diverse.talent@appwrk.com
Community Healthcare Network,https://www.chnnyc.org/lower-east-side-center,OSM,https://wa.me/12124778957,+12124778957,site mentions WhatsApp,,,feedback@chnnyc.org,none,feedback@chnnyc.org
Community Healthcare Network,https://www.chnnyc.org/harlem-health-center,OSM,https://wa.me/12124268367,+12124268367,site mentions WhatsApp,,,feedback@chnnyc.org,none,feedback@chnnyc.org
Community Healthcare Network,https://www.chnnyc.org/east-new-york-health-center,OSM,https://wa.me/17182774795,+17182774795,site mentions WhatsApp,,,feedback@chnnyc.org,none,feedback@chnnyc.org
Efficient Computer Technology,http://ectcctv.com,OSM,https://wa.me/12122191778,+12122191778,wa.me API check,Trusted Platforms,Partner,trusted.platforms@ectcctv.com,website,info@ectcctv.com; trusted.platforms@ectcctv.com
Top IT Services Companies in New York,https://www.goodfirms.co/it-services/new-york,DuckDuckGo,https://wa.me/11814051379,+11814051379,wa.me API check,Eagles Visit,CEO,eagles.visit@goodfirms.co,website,info@goodfirms.co; you@work.com; eagles.visit@goodfirms.co
"Commit USA, INC",https://www.commit.us,OSM,https://wa.me/12233374943,+12233374943,wa.me API check,Reid Lentz,CEO,reid.lentz@commit.us,website,reid.lentz@commit.us
