Company Name,Website,Source,WhatsApp Link,Phone Number,WhatsApp Source,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
IT Trattoria,http://www.it-trattoria.com,OSM,https://wa.me/16464520400,+16464520400,wa.me API check,Kitchen Manager,MANAGER,kitchen.manager@it-trattoria.com,website,julien.oheix@me.com; u002f@25.7903548; kitchen.manager@it-trattoria.com
Centre Arabe de Recherches et d’Études Politiques de Paris,https://carep-paris.org,OSM,https://wa.me/331389172539,+331389172539,site mentions WhatsApp,Communiqués Nos,associé,contact@carep-paris.org,website,contact@carep-paris.org; communication@carep-paris.org
Data-tricks,https://www.data-tricks.com,OSM,https://wa.me/33256042964,+33256042964,site mentions WhatsApp,,,contact@data-tricks.fr,none,contact@data-tricks.fr
IT Trattoria,https://it-trattoria.com,OSM,https://wa.me/16464520400,+16464520400,wa.me API check,Kitchen Manager,MANAGER,kitchen.manager@it-trattoria.com,website,julien.oheix@me.com; u002f@25.7903548; kitchen.manager@it-trattoria.com
Worteks,https://www.worteks.com,OSM,https://wa.me/33184208647,+33184208647,wa.me API check,,,info@worteks.com,none,info@worteks.com
Sorbonne Cluster for Artificial Intelligence,https://scai.sorbonne-universite.fr,OSM,https://wa.me/33512256256,+33512256256,site mentions WhatsApp,Connect Researchers,Partner,connect.researchers@scai.sorbonne-universite.fr,website,connect.researchers@scai.sorbonne-universite.fr
NBS System,https://www.nbs-system.com,OSM,https://wa.me/33158566080,+33158566080,site mentions WhatsApp,,,contact@nbs-system.com,none,contact@nbs-system.com
Trout Software,https://trout.software,OSM,https://wa.me/33134620604,+33134620604,wa.me API check,Events Press,Partner,events.press@trout.software,website,contact@trout.software; you@company.com; events.press@trout.software
L'UTÈS,http://www.lutes.upmc.fr,OSM,https://wa.me/33632248790,+33632248790,wa.me API check,,,sciences-capsule@sorbonne-universite.fr,none,sciences-capsule@sorbonne-universite.fr
Kelvin technologies,https://www.go-kelvin.com,OSM,https://wa.me/33780985809,+33780985809,wa.me link on site,Green Renov,Directeur Général,green.renov@go-kelvin.com,website,vous@entreprise.com; green.renov@go-kelvin.com
Synacktiv,https://synacktiv.com,OSM,https://wa.me/33971182769,+33971182769,wa.me API check,Marc-Antoine Lacroix,CTO,marc-antoine@synacktiv.com,website,contact@synacktiv.com; csirt@synacktiv.com; marc-antoine@synacktiv.com
JoliCode,https://jolicode.com,OSM,https://wa.me/33143573911,+33143573911,wa.me API check,,,bonjour@jolicode.ch,none,bonjour@jolicode.ch; coucou@jolicode.com; email@exemple.com
iC Consult France SARL,https://ic-consult.com,OSM,https://wa.me/33995452111,+33995452111,site mentions WhatsApp,Raiffeisen Bank,Owner,raiffeisen.bank@ic-consult.com,website,marketing@ic-consult.com; raiffeisen.bank@ic-consult.com
Campus Louis Braille,https://www.campusbraille.fr,OSM,https://wa.me/33861223115,+33861223115,wa.me API check,Nos Grands,Team Member,nos.grands@campusbraille.fr,website,adresse@mail.com; tm@campusbraille.fr; nos.grands@campusbraille.fr
Lotus Informatique Service,https://lotus-is.com,OSM,https://wa.me/333921568627,+333921568627,wa.me API check,,,contact@lotus-is.com,none,contact@lotus-is.com
Digitad,https://digitad.fr,OSM,https://wa.me/33770743300,+33770743300,site mentions WhatsApp,,,nathan@integral.eu,none,nathan@integral.eu
Akio,https://www.akio.com,OSM,https://wa.me/336623213346,+336623213346,site mentions WhatsApp,Les Modules,Président,les.modules@akio.com,website,contact.odigo.fr@odigo.com; les.modules@akio.com
Digital & Services Informatiques,https://dsinformatiques.fr,OSM,https://wa.me/33641864773,+33641864773,wa.me API check,,,contact@dsinformatiques.fr,none,contact@dsinformatiques.fr
Groupe 5eme Avenue,https://www.groupe5emeavenue.fr,OSM,https://wa.me/334421053246,+334421053246,site mentions WhatsApp,,,prenezrendezavecnosexpertstlcoms@5emeavenue.fr,none,contact@groupe5emeavenue.fr; commercial@groupe5emeavenue.fr; prenezrendezavecnosexpertstlcoms@5emeavenue.fr
Galadrim,https://galadrim.fr,OSM,https://wa.me/331902280180,+331902280180,wa.me API check,Duriez Ing,ceo,duriez.ing@galadrim.fr,website,contact@galadrim.fr; hello@galadrim.fr; duriez.ing@galadrim.fr
Threekit,https://www.threekit.com/fr,OSM,https://wa.me/338213849158,+338213849158,wa.me API check,,,contact@threekit.com,none,contact@threekit.com
fastmag,https://www.fastmag.fr,OSM,https://wa.me/34948287507,+34948287507,wa.me API check,Form Informations,CEO,form.informations@fastmag.fr,website,adresse@email.fr; form.informations@fastmag.fr
Kel Foncier,https://kelfoncier.com,OSM,https://wa.me/33184602884,+33184602884,wa.me API check,Dev Expert,Fondateur,dev@kelfoncier.com,website,pro@kelfoncier.com; dev@kelfoncier.com
Aeromaritime,https://aeromaritimegroup.com/france,OSM,https://wa.me/33298416255,+33298416255,site mentions WhatsApp,,,20info@aeromaritime.de,none,contact@aeromaritime-engineering.fr; info@aeromaritime.de; info@aeromaritime.fr; 20info@aeromaritime.de
Denodo Paris,https://www.denodo.com/en/about-us/denodo-offices#EMEA,OSM,https://wa.me/33230568361,+33230568361,wa.me API check,Acceleration Semantic,Partner,acceleration.semantic@denodo.com,website,info.apac@denodo.com; info.ca@denodo.com; info.emea@denodo.com; info.iberia@denodo.com; info.la@denodo.com; info.nl@denodo.com; info.se@denodo.com; info.us@denodo.com; info@denodo.com; acceleration.semantic@denodo.com
Nomios,https://www.nomios.fr,OSM,https://wa.me/33783923800,+33783923800,wa.me API check,,,info@brik.digital,none,info@brik.digital; info@nomios.fr
Top Information Technology Companies In Paris - AeroLeads,https://aeroleads.com/list/top-information-technology-companies-in-paris,DuckDuckGo,https://wa.me/33117191115,+33117191115,wa.me API check,Templates Tools,Partner,templates.tools@aeroleads.com,website,hello@aeroleads.com; ciro.decaro@s4m.io; damien.courbon@deloitte.com; edalongeville@salesforce.com; emilie.pantin@orange.com; eric@gasparking.com; faustine.michaux@espeme.com; gilles_bernard@aon.fr; hadrien.lefebvre@turbomeca.com; ines@broadbean.com; ivlahinic@ckmadvisors.com; lohn@ciscospark.com; nsache@ccomptes.fr; olivier.rossetti@colas.com; p_sentenac@yahoo.fr; raphael.simon@dailymotion.com; robert.sanchez@thalesgroup.com; romain.goarant@mt.com; sandeepkumar.gundu@igate.com; sarah.touboul@wanadoo.fr; sebastien.maury@snips.ai; sfalmagne@ibm.com; tahir.iftikhar@tinyclues.com; tdumain@morningroup.com; teddy@toussaint.pro; terry.demelo@nike.com; theo.nazon@hec.edu; thierry.pautrat@dalkia.fr; templates.tools@aeroleads.com
ipéfix,https://www.ipefix.net,OSM,https://wa.me/33177488800,+33177488800,wa.me API check,,,contact@ipefix.net,none,contact@ipefix.net
NXO France,https://www.nxo.eu,OSM,https://wa.me/33821201201,+33821201201,wa.me API check,Google Tag,Manager,google.tag@nxo.eu,website,gen-commerce-oi@nxo.eu; google.tag@nxo.eu
Salesforce,https://www.salesforce.com/fr/company/locations,OSM,https://wa.me/338008911887,+338008911887,wa.me API check,Programs Découvrez,Partner,info@jp.salesforce.com,website,info@jp.salesforce.com; ap_sales@salesforce.com; in_sales@salesforce.com; latam@salesforce.com
Institut des Systèmes Complexes de Paris Île-de-France,https://iscpif.fr,OSM,https://wa.me/332511202602,+332511202602,wa.me API check,Salma Mesmoudi,Partner,salma@iscpif.fr,website,contactcom@iscpif.fr; salma@iscpif.fr
